problem	classification	n	m
3PK	SBR2-MN-30-0	30	0
ACOPP14	QOR2-AY-38-68	38	68
ACOPR14	QOR2-AN-38-82	38	82
AIRCRFTB	SXR2-RN-8-0	8	0
AIRPORT	SQR2-MN-84-42	84	42
AKIVA	OUR2-AN-2-0	2	0
ALLINIT	OBR2-AY-4-0	4	0
ALLINITA	OOR2-AY-4-4	4	4
ALLINITC	OOR2-AY-4-1	4	1
ALLINITU	OUR2-AY-4-0	4	0
ALSOTAME	OOR2-AN-2-1	2	1
ANTWERP	SLR2-RN-27-8	27	8
AVGASA	QLR2-AN-8-10	8	10
AVGASB	QLR2-AN-8-10	8	10
AVION2	OLR2-RN-49-15	49	15
BA-L1LS	SUR2-MN-57-0	57	0
BA-L1SPLS	SUR2-MN-57-0	57	0
BARD	SUR2-AN-3-0	3	0
BATCH	OOR2-AN-46-73	46	73
BEALE	SUR2-AN-2-0	2	0
BIGGS3	SXR2-AN-6-0	6	0
BIGGS5	SXR2-AN-6-0	6	0
BIGGSC4	QLR2-AN-4-7	4	7
BOX2	SXR2-AN-3-0	3	0
BQP1VAR	QBR2-AN-1-0	1	0
BQPGABIM	QBR2-AN-50-0	50	0
BQPGASIM	QBR2-AN-50-0	50	0
BRANIN	OBR2-AN-2-0	2	0
BT1	QQR2-AN-2-1	2	1
BT12	QQR2-AN-5-3	5	3
BT13	LQR2-AY-5-1	5	1
BT2	QQR2-AY-3-1	3	1
BT3	SLR2-AY-5-3	5	3
BT4	QQR2-AN-3-2	3	2
DALLASS	ONR2-MN-46-31	46	31
DECONVU	SXR2-MN-61-0	61	0
LINSPANH	LNR2-MN-97-33	97	33
LSNNODOC	ONR2-AY-5-4	5	4
MINSURF	OXR2-MY-64-0	64	0
SPANHYD	ONR2-RN-97-33	97	33
WATER	ONR2-MN-31-10	31	10
